"Label (Grouping)","Workers 16 years and over","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Drove alone","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 2-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 3-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 4-or-more person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home","Workers 16 years and over!!PLACE OF WORK","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states","Workers 16 years and over who did not work from home","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m.","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Workers 16 years and over in households","VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!3 or more vehicles available","PERCENT ALLOCATED","PERCENT ALLOCATED!!Means of transportation to work","PERCENT ALLOCATED!!Private vehicle occupancy","PERCENT ALLOCATED!!Place of work","PERCENT ALLOCATED!!Time of departure to go to work","PERCENT ALLOCATED!!Travel time to work","PERCENT ALLOCATED!!Vehicles available"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,813","","64.0%","60.0%","4.1%","3.0%","0.3%","0.8%","1.04","0.2%","3.0%","0.4%","2.0%","30.4%","","99.1%","86.4%","12.8%","0.9%","91.1%","37.9%","53.2%","8.9%","0.0%","0.0%","0.0%","100.0%","18,658","","2.3%","1.4%","2.7%","6.7%","5.1%","10.9%","13.2%","16.8%","9.2%","31.6%","","15.8%","12.9%","11.5%","12.4%","6.2%","10.3%","5.9%","9.6%","15.4%","29.1","","25,910","1.1%","13.0%","45.9%","40.0%","","16.2%","18.0%","16.9%","31.4%","23.3%","1.8%"
"        Margin of Error","±1,189","","±2.8","±2.7","±1.0","±0.8","±0.2","±0.5","±0.01","±0.1","±0.7","±0.3","±0.7","±2.6","","±0.4","±1.7","±1.7","±0.4","±1.6","±2.8","±3.0","±1.6","±0.2","±0.2","±0.2","±0.2","±1,100","","±0.8","±0.8","±1.0","±1.4","±1.0","±1.8","±2.0","±2.5","±1.9","±2.7","","±2.8","±2.1","±2.4","±2.0","±1.3","±2.1","±1.4","±1.8","±2.4","±1.6","","±1,171","±0.5","±2.0","±3.7","±3.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,143","","64.1%","60.9%","3.2%","2.4%","0.2%","0.6%","1.03","0.2%","2.6%","0.1%","1.7%","31.4%","","98.8%","86.5%","12.4%","1.2%","90.8%","37.4%","53.5%","9.2%","0.0%","0.0%","0.0%","100.0%","9,705","","1.3%","0.7%","4.5%","9.7%","6.8%","11.7%","13.2%","14.6%","10.0%","27.4%","","11.9%","10.7%","11.4%","11.6%","6.9%","11.1%","7.0%","11.4%","18.1%","31.7","","13,801","0.8%","12.8%","46.3%","40.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±814","","±3.6","±3.6","±1.0","±0.8","±0.2","±0.4","±0.01","±0.2","±1.0","±0.1","±1.0","±3.4","","±0.7","±2.5","±2.5","±0.7","±1.9","±3.5","±3.7","±1.9","±0.3","±0.3","±0.3","±0.3","±699","","±0.8","±0.6","±1.8","±2.3","±1.6","±2.4","±3.3","±3.0","±3.0","±3.6","","±3.1","±2.4","±3.0","±2.6","±2.4","±2.9","±2.0","±2.6","±3.2","±1.9","","±794","±0.6","±3.0","±3.9","±3.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,670","","64.0%","59.0%","5.0%","3.6%","0.4%","1.0%","1.05","0.1%","3.4%","0.6%","2.5%","29.3%","","99.5%","86.3%","13.2%","0.5%","91.4%","38.6%","52.9%","8.6%","0.0%","0.0%","0.0%","100.0%","8,953","","3.4%","2.2%","0.8%","3.5%","3.3%","10.1%","13.1%","19.3%","8.4%","36.1%","","20.1%","15.3%","11.5%","13.2%","5.5%","9.5%","4.7%","7.6%","12.5%","26.2","","12,109","1.6%","13.2%","45.4%","39.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±891","","±3.6","±3.9","±1.6","±1.2","±0.3","±0.7","±0.02","±0.1","±0.9","±0.6","±1.3","±3.1","","±0.4","±2.4","±2.4","±0.4","±2.0","±3.7","±3.9","±2.0","±0.3","±0.3","±0.3","±0.3","±782","","±1.5","±1.4","±0.6","±1.4","±1.2","±2.3","±2.6","±3.9","±1.8","±4.2","","±4.3","±3.2","±3.1","±2.8","±1.8","±2.5","±1.8","±2.1","±3.4","±2.3","","±851","±0.9","±2.3","±4.6","±4.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","149,032","","87.4%","75.8%","11.6%","8.7%","1.4%","1.6%","1.08","3.2%","1.1%","0.2%","2.0%","6.2%","","99.9%","94.3%","5.6%","0.1%","98.8%","14.8%","84.0%","1.2%","0.0%","0.0%","0.0%","100.0%","139,750","","9.1%","6.5%","6.0%","9.8%","6.8%","11.8%","7.9%","10.8%","3.6%","27.7%","","5.8%","9.8%","14.1%","16.9%","7.2%","19.9%","7.1%","8.9%","10.3%","29.2","","148,693","2.2%","12.9%","30.1%","54.7%","","15.0%","17.3%","22.2%","28.3%","23.2%","2.0%"
"        Margin of Error","±2,767","","±0.8","±1.0","±0.7","±0.6","±0.2","±0.3","±0.01","±0.5","±0.2","±0.1","±0.4","±0.6","","±0.1","±0.4","±0.4","±0.1","±0.2","±0.7","±0.7","±0.2","±0.1","±0.1","±0.1","±0.1","±2,545","","±0.7","±0.7","±0.5","±0.7","±0.6","±0.8","±0.7","±0.7","±0.4","±1.3","","±0.7","±0.8","±0.9","±0.9","±0.6","±1.0","±0.7","±0.8","±0.7","±0.5","","±2,764","±0.4","±1.0","±1.5","±1.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79,507","","89.4%","79.1%","10.4%","7.6%","1.4%","1.3%","1.07","2.9%","0.9%","0.2%","2.0%","4.5%","","99.8%","92.7%","7.1%","0.2%","98.6%","12.9%","85.7%","1.4%","0.0%","0.0%","0.0%","100.0%","75,932","","11.5%","8.9%","7.5%","12.5%","6.3%","10.0%","5.3%","8.8%","2.8%","26.6%","","5.0%","10.2%","13.4%","15.6%","7.4%","20.4%","7.1%","9.9%","11.0%","30.0","","79,302","1.9%","11.5%","30.3%","56.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±2,010","","±0.8","±1.1","±0.8","±0.7","±0.3","±0.3","±0.01","±0.6","±0.2","±0.1","±0.4","±0.6","","±0.1","±0.7","±0.7","±0.1","±0.4","±1.1","±1.2","±0.4","±0.1","±0.1","±0.1","±0.1","±1,893","","±1.1","±1.1","±0.7","±1.1","±0.7","±0.9","±0.7","±0.8","±0.5","±1.7","","±0.7","±1.0","±1.1","±1.2","±0.9","±1.2","±0.9","±1.0","±1.0","±0.7","","±2,003","±0.4","±1.1","±1.8","±2.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","69,525","","85.0%","72.0%","13.1%","9.8%","1.4%","1.8%","1.09","3.5%","1.3%","0.1%","1.9%","8.2%","","99.9%","96.0%","3.9%","0.1%","99.1%","17.0%","82.1%","0.9%","0.0%","0.0%","0.0%","100.0%","63,818","","6.4%","3.6%","4.2%","6.5%","7.4%","14.0%","11.1%","13.2%","4.6%","29.0%","","6.7%","9.3%","15.0%","18.4%","6.9%","19.4%","7.1%","7.8%","9.5%","28.2","","69,391","2.5%","14.6%","29.9%","52.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±1,880","","±1.2","±1.4","±1.1","±1.0","±0.3","±0.5","±0.01","±0.6","±0.3","±0.1","±0.5","±0.9","","±0.1","±0.6","±0.6","±0.1","±0.2","±1.1","±1.1","±0.2","±0.1","±0.1","±0.1","±0.1","±1,678","","±0.8","±0.6","±0.6","±0.7","±0.9","±1.0","±1.1","±1.1","±0.6","±1.8","","±1.0","±1.1","±1.4","±1.6","±0.8","±1.4","±0.9","±1.0","±0.9","±0.7","","±1,871","±0.5","±1.5","±1.5","±1.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","190,552","","85.4%","74.0%","11.5%","8.0%","2.2%","1.3%","1.08","2.2%","1.4%","0.4%","1.7%","8.9%","","99.7%","84.6%","15.1%","0.3%","99.9%","18.8%","81.1%","0.1%","0.0%","0.0%","0.0%","100.0%","173,558","","8.9%","5.5%","5.0%","9.2%","8.0%","13.0%","9.3%","10.7%","4.5%","25.8%","","6.9%","10.4%","13.2%","15.3%","6.3%","18.0%","7.4%","10.6%","11.8%","30.0","","190,283","2.5%","14.5%","32.2%","50.9%","","17.2%","19.7%","24.0%","33.0%","24.1%","2.0%"
"        Margin of Error","±2,282","","±0.8","±1.0","±0.7","±0.7","±0.3","±0.3","±0.01","±0.3","±0.3","±0.1","±0.3","±0.5","","±0.1","±0.6","±0.6","±0.1","±0.1","±0.8","±0.8","±0.1","±0.1","±0.1","±0.1","±0.1","±2,290","","±0.6","±0.4","±0.4","±0.6","±0.5","±0.7","±0.6","±0.7","±0.4","±0.9","","±0.5","±0.7","±0.6","±0.7","±0.5","±0.8","±0.5","±0.7","±0.6","±0.5","","±2,294","±0.4","±1.0","±1.2","±1.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","104,092","","87.4%","77.1%","10.3%","6.8%","2.2%","1.2%","1.07","1.7%","1.7%","0.5%","1.7%","7.1%","","99.7%","83.9%","15.7%","0.3%","99.9%","16.1%","83.8%","0.1%","0.0%","0.0%","0.0%","100.0%","96,751","","12.1%","7.3%","6.1%","10.2%","8.0%","11.4%","7.9%","9.1%","3.4%","24.7%","","5.9%","9.8%","12.3%","15.0%","6.2%","19.3%","7.4%","11.3%","12.6%","31.1","","103,884","2.1%","13.7%","32.9%","51.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±1,792","","±0.9","±1.1","±0.9","±0.7","±0.4","±0.3","±0.01","±0.3","±0.4","±0.2","±0.4","±0.7","","±0.1","±0.8","±0.8","±0.1","±0.1","±1.1","±1.1","±0.1","±0.1","±0.1","±0.1","±0.1","±1,793","","±1.0","±0.7","±0.6","±0.8","±0.8","±0.8","±0.9","±0.9","±0.4","±1.3","","±0.6","±0.9","±0.9","±1.1","±0.6","±1.1","±0.6","±0.9","±0.9","±0.7","","±1,811","±0.4","±1.1","±1.3","±1.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","86,460","","83.1%","70.2%","12.8%","9.4%","2.1%","1.3%","1.09","2.8%","1.0%","0.3%","1.7%","11.2%","","99.7%","85.4%","14.3%","0.3%","99.9%","22.0%","77.9%","0.1%","0.0%","0.0%","0.0%","100.0%","76,807","","4.9%","3.3%","3.7%","8.0%","8.1%","14.9%","11.2%","12.8%","6.0%","27.1%","","8.2%","11.2%","14.4%","15.6%","6.5%","16.2%","7.4%","9.6%","10.9%","28.7","","86,399","2.9%","15.3%","31.3%","50.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±1,600","","±1.2","±1.5","±0.9","±0.9","±0.4","±0.3","±0.01","±0.5","±0.3","±0.2","±0.3","±0.8","","±0.1","±1.0","±0.9","±0.1","±0.1","±1.1","±1.1","±0.1","±0.1","±0.1","±0.1","±0.1","±1,719","","±0.6","±0.5","±0.6","±0.8","±0.6","±1.0","±0.9","±1.2","±0.6","±1.3","","±0.8","±0.9","±1.0","±0.8","±0.7","±1.0","±0.7","±0.8","±0.9","±0.6","","±1,613","±0.5","±1.1","±1.4","±1.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","434,312","","83.2%","71.7%","11.5%","8.1%","2.0%","1.4%","1.08","2.1%","1.7%","0.4%","1.3%","11.4%","","99.7%","82.5%","17.2%","0.3%","98.3%","20.3%","78.0%","1.7%","0.0%","0.0%","0.0%","100.0%","384,980","","8.8%","5.7%","4.9%","8.4%","6.9%","12.3%","8.2%","12.4%","5.3%","27.1%","","7.6%","10.9%","12.6%","12.8%","5.2%","16.5%","8.1%","11.3%","15.0%","31.9","","429,250","2.2%","11.2%","32.2%","54.4%","","15.6%","18.2%","22.6%","28.8%","23.7%","1.9%"
"        Margin of Error","±3,396","","±0.5","±0.7","±0.5","±0.4","±0.2","±0.1","±0.01","±0.2","±0.1","±0.1","±0.1","±0.5","","±0.1","±0.5","±0.5","±0.1","±0.3","±0.6","±0.6","±0.3","±0.1","±0.1","±0.1","±0.1","±3,593","","±0.4","±0.3","±0.3","±0.4","±0.3","±0.4","±0.4","±0.5","±0.3","±0.6","","±0.3","±0.4","±0.4","±0.4","±0.3","±0.6","±0.4","±0.4","±0.4","±0.3","","±3,360","±0.3","±0.5","±0.7","±0.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","233,994","","84.9%","73.6%","11.3%","7.9%","2.1%","1.4%","1.08","1.9%","1.5%","0.6%","1.2%","9.8%","","99.6%","80.4%","19.2%","0.4%","98.3%","18.0%","80.3%","1.7%","0.0%","0.0%","0.0%","100.0%","211,077","","11.3%","8.1%","5.7%","9.4%","6.7%","11.4%","6.1%","11.2%","4.3%","25.8%","","6.5%","9.6%","11.5%","12.3%","5.3%","17.6%","8.8%","11.7%","16.8%","33.7","","231,954","2.0%","9.8%","32.6%","55.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±2,563","","±0.7","±0.9","±0.6","±0.5","±0.3","±0.2","±0.01","±0.2","±0.2","±0.1","±0.2","±0.5","","±0.1","±0.7","±0.7","±0.1","±0.3","±0.6","±0.6","±0.3","±0.1","±0.1","±0.1","±0.1","±2,651","","±0.6","±0.5","±0.4","±0.5","±0.4","±0.5","±0.4","±0.6","±0.3","±0.8","","±0.4","±0.5","±0.6","±0.5","±0.4","±0.7","±0.5","±0.5","±0.6","±0.4","","±2,559","±0.3","±0.6","±0.8","±0.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","200,318","","81.2%","69.5%","11.8%","8.4%","2.0%","1.4%","1.09","2.3%","1.9%","0.1%","1.3%","13.2%","","99.8%","85.0%","14.8%","0.2%","98.3%","22.9%","75.4%","1.7%","0.0%","0.0%","0.0%","100.0%","173,903","","5.7%","2.9%","4.0%","7.1%","7.2%","13.3%","10.8%","13.8%","6.6%","28.7%","","8.8%","12.5%","13.9%","13.4%","5.2%","15.2%","7.3%","10.7%","12.8%","29.8","","197,296","2.4%","13.0%","31.6%","53.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±2,466","","±0.7","±0.9","±0.7","±0.5","±0.2","±0.2","±0.01","±0.3","±0.2","±0.1","±0.2","±0.7","","±0.1","±0.6","±0.6","±0.1","±0.3","±0.8","±0.8","±0.3","±0.1","±0.1","±0.1","±0.1","±2,552","","±0.5","±0.3","±0.4","±0.5","±0.5","±0.6","±0.6","±0.7","±0.5","±0.8","","±0.5","±0.7","±0.6","±0.7","±0.4","±0.8","±0.5","±0.5","±0.7","±0.5","","±2,401","±0.3","±0.6","±0.8","±0.9","","(X)","(X)","(X)","(X)","(X)","(X)"
