STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,GEO_ID,TL_GEO_ID,NAME_E,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone, Two or More Races,Hispanic or Latino,Hispanic or Latino: White alone,   Hispanic or Latino: Black or African American alone,Hispanic or Latino: American Indian and Alaska Native alone,Hispanic or Latino: Asian alone,Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: Some other race alone,Hispanic or Latino: Two or more races,,Total: Worked in county of residence ,Worked outside county of residence,Worked outside state of residence,All Commuters," Car, truck, or van","Car, truck, or van: Drove alone","Car, truck, or van: Carpooled",Public Transportation,Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar or trolley ",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked from home,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Total Educational Attainment Population,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Median earnings in the past 12 months (Total),Median earnings in the past 12 months (Male),Median earnings in the past 12 months (Female)
California,6,Alameda County,1,Alameda CCD,90020,0600000US0600190020,600190020,"Alameda CCD, Alameda County, California",76876,33357,4659,367,23254,347,3719,11173,10915,2204,87,176,216,14,2868,5350,ASOIE001,28590,9864,102,38556,20464,18008,2456,4696,1771,786,48,84,2007,156,195,954,984,267,10840,377,1805,2959,3454,3798,1279,3714,848,1699,3201,3519,1063,55807,922,13,19,0,61,77,28,184,331,46,370,166,246,236,971,5340,701,2295,6533,3605,19464,9653,2699,1847,78482,89194,71638
California,6,Alameda County,1,Berkeley CCD,90200,0600000US0600190200,600190200,"Berkeley CCD, Alameda County, California",139991,75143,9661,896,30680,187,6946,16478,17127,4331,458,730,237,50,5484,5837,70473,52910,17147,416,70473,22974,20341,2633,11178,4041,6020,894,105,118,96,260,3220,8635,1116,22994,1157,3287,6443,7357,5847,2272,5830,1287,2081,5164,5178,1576,90122,1134,5,0,37,19,37,53,44,332,18,221,204,343,223,707,5662,582,2003,7090,3591,30221,21695,6407,9494,54047,65263,44388
California,6,Alameda County,1,Fremont CCD,91070,0600000US0600191070,600191070,"Fremont CCD, Alameda County, California",342657,67562,11621,1983,200644,2429,29923,28495,56130,9495,218,1116,702,161,28255,16183,166118,110865,54784,469,166118,108898,94486,14412,7475,2957,3261,1061,180,16,189,260,834,1698,2037,44727,1036,5960,12060,16871,15280,6674,19456,5294,8144,15636,11370,3610,249379,5998,71,96,111,233,443,263,363,1893,530,862,3400,1697,1386,4222,36007,3272,8544,23131,14687,75860,52371,4800,9139,83725,99835,67239
California,6,Alameda County,1,Hayward CCD,91260,0600000US0600191260,600191260,"Hayward CCD, Alameda County, California",391759,98445,37652,4626,119358,6428,74522,50728,134687,22772,1279,3594,1759,264,72424,32595,193043,139475,53331,237,193043,149530,127842,21688,12430,3313,7032,1574,276,235,588,305,708,2156,2204,25122,2008,7226,15582,21331,20156,10403,29645,5415,9910,19884,19841,6520,284907,12687,133,179,239,920,988,864,2570,4866,1450,2380,4732,2254,2888,8751,57373,7190,17542,38421,23411,65090,22313,4027,3639,53501,58407,47595
California,6,Alameda County,1,Livermore-Pleasanton CCD,91660,0600000US0600191660,600191660,"Livermore-Pleasanton CCD, Alameda County, California",238826,107920,5403,1560,84263,872,11443,27365,38119,10941,167,1185,389,39,10807,14591,120106,87945,31861,300,120106,78639,69651,8988,6271,1606,2676,1643,341,5,295,240,868,1579,1345,30869,1467,8444,12680,11549,9048,3440,7609,2008,4118,10595,13122,5157,168525,2173,43,0,39,38,130,147,369,966,243,537,549,446,681,1664,17254,2276,8028,16805,11605,58286,34272,5286,6688,94868,119709,70851
California,6,Alameda County,1,Oakland CCD,92230,0600000US0600192230,600192230,"Oakland CCD, Alameda County, California",461840,145969,94863,5332,74351,2046,86632,52647,128267,12208,2608,3961,870,130,83033,25457,241073,176691,64091,291,241073,131623,114249,17374,34482,11320,19888,2207,455,612,1444,678,4506,7514,2750,58076,2315,8795,20226,27080,25729,10214,28485,6587,10777,19737,17471,5581,341162,14581,50,157,453,804,1713,775,1549,6150,727,1875,6888,2506,3170,8142,47365,5724,12774,38335,18240,92542,51460,13950,11232,59074,61824,55224
California,6,Alpine County,3,Markleeville CCD,91890,0600000US0600391890,600391890,"Markleeville CCD, Alpine County, California",1695,1076,0,458,8,0,22,131,249,83,0,41,0,0,16,109,772,424,139,209,772,538,421,117,3,3,0,0,0,0,0,0,17,17,0,197,47,69,39,24,61,32,138,26,81,10,7,41,1178,2,0,0,0,0,0,6,3,9,0,0,9,1,1,13,186,32,116,175,129,264,145,46,41,36630,40431,36087
California,6,Amador County,5,Ione CCD,91410,0600000US0600591410,600591410,"Ione CCD, Amador County, California",13995,9291,569,285,119,14,1298,2419,3033,314,17,65,0,0,1092,1545,5090,3433,1657,0,5090,4201,3778,423,0,0,0,0,0,0,0,0,15,139,20,715,251,394,342,791,568,236,500,106,163,688,268,68,11090,65,0,0,0,15,29,18,59,102,49,87,200,156,372,324,1888,578,1252,2241,1637,1617,317,46,38,49495,61535,44011
California,6,Amador County,5,Jackson CCD,91430,0600000US0600591430,600591430,"Jackson CCD, Amador County, California",8236,6731,103,115,313,0,138,836,1261,690,0,26,0,0,101,444,3327,2465,862,0,3327,2768,2428,340,7,7,0,0,0,0,0,0,29,95,0,428,229,710,398,428,96,58,259,7,65,272,200,177,6142,84,1,0,0,0,1,0,0,3,0,8,4,54,329,142,1564,477,544,769,714,991,297,138,22,38571,53750,29722
California,6,Amador County,5,Pine Grove-Silver Lake CCD,92470,0600000US0600592470,600592470,"Pine Grove-Silver Lake CCD, Amador County, California",10706,9088,24,15,135,12,281,1151,1255,309,0,0,0,0,209,737,4052,2552,1500,0,4052,3380,2940,440,17,0,0,0,17,0,0,0,0,39,9,607,62,285,151,588,260,165,447,214,36,198,486,553,8758,118,0,0,0,0,0,0,0,0,0,0,16,28,189,119,2334,446,969,1530,991,1279,575,89,75,40671,43684,38153
