nhgis0002_ds267_20235_cty_sub
STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,GEO_ID,TL_GEO_ID,NAME_E,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone, Two or More Races,Hispanic or Latino,Hispanic or Latino: White alone,   Hispanic or Latino: Black or African American alone,Hispanic or Latino: American Indian and Alaska Native alone,Hispanic or Latino: Asian alone,Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: Some other race alone,Hispanic or Latino: Two or more races,,Total: Worked in county of residence ,Worked outside county of residence,Worked outside state of residence,All Commuters," Car, truck, or van","Car, truck, or van: Drove alone","Car, truck, or van: Carpooled",Public Transportation,Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar or trolley ",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked from home,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Total Educational Attainment Population,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Median earnings in the past 12 months (Total),Median earnings in the past 12 months (Male),Median earnings in the past 12 months (Female)
California,6,Los Angeles County,37,Agoura Hills-Malibu,90015,0600000US0603790015,603790015,"Agoura Hills-Malibu CCD, Los Angeles County, California",59576,44051,786,56,4604,23,4004,6052,7299,1992,52,7,29,0,3087,2132,26813,23162,3421,230,26813,17173,16085,1088,43,43,0,0,0,0,0,42,95,799,506,8155,702,2247,2409,2140,2306,1161,1930,612,494,1787,2129,741,41558,138,11,6,0,0,0,0,149,86,65,42,51,196,147,181,2993,455,1771,5251,2321,15355,6784,3566,1990,72237,101757,51183
California,6,Los Angeles County,37,Compton,90560,0600000US0603790560,603790560,"Compton CCD, Los Angeles County, California",336472,58027,67892,4875,35402,1620,97363,71293,211692,45756,783,4746,563,81,95372,64391,149032,140477,8357,198,149032,130231,112894,17337,4721,3814,631,141,135,0,387,186,246,1612,2367,9282,1426,6653,13699,19707,23571,10052,27837,3712,6166,12497,10204,4226,224643,15068,157,275,656,1295,2203,1317,2356,11223,1575,2979,7023,3542,5006,10970,51370,5277,11835,33120,15486,30307,9632,1183,788,37256,40508,34566
California,6,Los Angeles County,37,Downey-Norwalk,90730,0600000US0603790730,603790730,"Downey-Norwalk CCD, Los Angeles County, California",407245,93826,26022,6876,70181,1615,132927,75798,257260,49123,1127,6509,1465,240,131056,67740,190552,161184,28771,597,190552,162807,140950,21857,4248,3255,469,299,178,47,237,343,720,2583,2620,16994,1851,10124,18094,22977,26562,10999,31154,5290,7618,18338,15314,5237,279278,15154,145,198,264,872,1708,1087,1635,8173,1345,3465,5696,3202,3959,10761,61198,8361,16386,40159,22032,50808,16479,3977,2214,41573,46221,36297
California,6,Los Angeles County,37,East San Gabriel Valley,90810,0600000US0603790810,603790810,"East San Gabriel Valley CCD, Los Angeles County, California",925062,251324,29138,14671,225581,2014,240922,161412,504419,110085,1491,12304,2613,213,236700,141013,434312,358412,74595,1305,434312,361490,311346,50144,9022,5988,904,1421,696,13,872,444,1695,7297,4160,49332,5516,23695,41862,48476,49218,20143,63578,10582,20702,43406,41843,15959,644081,27583,304,506,709,1339,3842,2026,2715,17330,2559,6710,11135,5776,9297,21991,140639,15908,37075,89953,51839,129242,47353,10090,8160,41087,46568,35745
California,6,Los Angeles County,37,Inglewood,91400,0600000US0603791400,603791400,"Inglewood CCD, Los Angeles County, California",367111,70344,95287,6128,30176,1473,91142,72561,199787,41547,2380,5117,1010,116,88233,61384,174552,168465,5742,345,174552,139959,121026,18933,7820,7352,250,92,108,18,1258,762,1356,3448,4116,15833,1984,9009,16923,25351,24074,10745,25170,4499,7890,14993,13344,4737,249543,12936,102,182,366,1043,2061,1421,2911,8832,1737,2903,6612,3267,4731,9924,52558,6948,14546,40337,17009,40987,14568,2175,1387,37314,41067,34010
California,6,Los Angeles County,37,Long Beach-Lakewood,91730,0600000US0603791730,603791730,"Long Beach-Lakewood CCD, Los Angeles County, California",566230,230674,62667,7538,77887,3490,102680,81294,243616,75243,2277,6147,1903,227,99977,57842,281893,234755,46276,862,281893,220216,195857,24359,9587,7987,944,288,345,23,928,706,1534,6654,2641,39627,2589,12952,24825,33683,39982,14884,42196,7847,12586,23022,19857,7843,396328,23009,51,69,299,829,1884,911,1584,7963,1528,2727,7318,3372,5820,11142,65445,9074,22733,64886,29956,87721,34485,7948,5574,46167,50853,41116
California,6,Los Angeles County,37,Los Angeles,91750,0600000US0603791750,603791750,"Los Angeles CCD, Los Angeles County, California",2531276,889834,282469,32152,316136,3738,631732,375215,1173040,231920,9275,28518,4625,585,615777,282340,1250544,1216289,29368,4887,1250544,826588,726202,100386,102289,88663,10252,1033,2243,98,5446,2869,10969,50488,18425,233470,15181,47142,92191,127442,144204,62331,212026,33239,57637,104609,89360,31712,1807606,75397,549,1557,4791,8888,19316,10716,15574,70491,10127,17223,46169,19071,28557,52772,278138,32261,68784,213433,100814,461446,172873,65106,33553,42205,45347,39255
California,6,Los Angeles County,37,Newhall,92110,0600000US0603792110,603792110,"Newhall CCD, Los Angeles County, California",267593,138946,12350,3047,32537,940,28581,51192,95910,26462,503,2819,713,55,26637,38721,125258,120427,4360,471,125258,99569,88823,10746,2154,1565,119,337,0,133,241,248,85,858,1869,20234,1613,7447,12259,14108,10649,4498,10570,3286,6276,14297,14103,5918,179665,3500,26,5,28,209,450,247,418,1500,266,1112,1298,1724,1735,4223,28225,4503,12734,28454,17770,47916,16621,3830,2871,58521,70827,47315
California,6,Los Angeles County,37,North Antelope Valley,92140,0600000US0603792140,603792140,"North Antelope Valley CCD, Los Angeles County, California",203628,78609,38613,2423,8050,384,29884,45665,93707,24046,707,2149,271,25,28632,37877,76221,69902,6231,88,76221,65744,57284,8460,986,667,34,229,8,48,82,110,285,933,760,7321,1442,4556,11085,12909,9892,2582,4535,839,1725,6101,7414,5820,129713,4188,0,13,48,205,840,224,516,2601,196,2133,2013,2099,3326,5155,33991,4317,9500,21362,11144,16495,7769,854,724,46631,51487,42039
California,6,Los Angeles County,37,Palos Verdes,92360,0600000US0603792360,603792360,"Palos Verdes CCD, Los Angeles County, California",90745,48499,2539,241,22266,131,5917,11152,15887,5079,30,211,119,0,5425,5023,39919,38180,1535,204,39919,29369,27033,2336,473,306,98,69,0,0,19,57,308,1696,327,7670,1042,3051,3460,4172,4066,1815,4370,1242,2063,3217,2694,1057,65007,606,0,0,35,45,7,62,119,648,121,191,364,165,180,817,6296,875,2491,7338,4314,21914,11110,4797,2512,71287,90151,54883
