CCD,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes
Agoura Hills-Malibu,702,2247,2409,2140,2306,1161,1930,612,494,1787,2129,741
Compton,1426,6653,13699,19707,23571,10052,27837,3712,6166,12497,10204,4226
Downey-Norwalk,1851,10124,18094,22977,26562,10999,31154,5290,7618,18338,15314,5237
East San Gabriel Valley,5516,23695,41862,48476,49218,20143,63578,10582,20702,43406,41843,15959
Inglewood,1984,9009,16923,25351,24074,10745,25170,4499,7890,14993,13344,4737
Long Beach-Lakewood,2589,12952,24825,33683,39982,14884,42196,7847,12586,23022,19857,7843
Los Angeles,15181,47142,92191,127442,144204,62331,212026,33239,57637,104609,89360,31712
Newhall,1613,7447,12259,14108,10649,4498,10570,3286,6276,14297,14103,5918
North Antelope Valley,1442,4556,11085,12909,9892,2582,4535,839,1725,6101,7414,5820
Palos Verdes,1042,3051,3460,4172,4066,1815,4370,1242,2063,3217,2694,1057
Pasadena,1524,8359,13887,14370,14078,6367,16206,2968,5359,9115,8003,2516
San Fernando Valley,9269,42793,74280,103695,101091,43474,130559,26224,37242,76106,71397,23758
Santa Monica,506,3160,5160,4887,4176,1900,5331,1245,1688,2856,2058,348
South Antelope Valley,1093,3614,7651,13504,10866,2478,6403,904,2390,8699,15300,9968
South Bay Cities,922,4904,6826,9040,6217,3305,5183,1596,2002,5035,5166,989
South Gate-East Los Angeles,1404,8748,15691,23633,29951,11304,41741,5695,11163,18587,19855,5800
Southwest San Gabriel Valley,1451,6870,15302,16777,18542,8954,24277,3651,6658,13722,10759,3823
Torrance,671,3293,8559,8737,8785,4490,7425,1501,2319,4729,4104,1396
Upper San Gabriel Valley,1708,8651,13783,17522,17693,7397,23263,3158,6895,12504,10507,3933
Whittier,1633,6712,12928,16601,18136,7895,21918,5398,6955,15764,13327,5579
