Label (Grouping),"Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van",Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab),Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked,Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle,"Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means",Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home
"Agoura Hills-Malibu CCD, Los Angeles County, California",,,,,,
        Estimate,78.20%,0.80%,3.90%,0.70%,1.80%,14.50%
    Male,,,,,,
        Estimate,81.30%,0.80%,2.70%,0.50%,1.10%,13.50%
    Female,,,,,,
        Estimate,74.80%,0.80%,5.20%,0.90%,2.70%,15.60%
"Compton CCD, Los Angeles County, California",,,,,,
        Estimate,89.70%,4.00%,1.50%,0.40%,1.70%,2.70%
    Male,,,,,,
        Estimate,90.50%,3.60%,1.40%,0.60%,1.90%,2.00%
    Female,,,,,,
        Estimate,88.70%,4.50%,1.50%,0.10%,1.50%,3.70%
"Downey-Norwalk CCD, Los Angeles County, California",,,,,,
        Estimate,91.00%,2.50%,1.60%,0.60%,1.10%,3.30%
    Male,,,,,,
        Estimate,91.80%,2.20%,1.30%,0.90%,1.30%,2.40%
    Female,,,,,,
        Estimate,90.00%,2.70%,1.90%,0.20%,0.90%,4.30%
"East San Gabriel Valley CCD, Los Angeles County, California",,,,,,
        Estimate,89.00%,3.10%,2.10%,0.50%,1.00%,4.30%
    Male,,,,,,
        Estimate,89.60%,3.00%,1.90%,0.70%,1.20%,3.70%
    Female,,,,,,
        Estimate,88.30%,3.40%,2.20%,0.20%,0.90%,5.10%
"Inglewood CCD, Los Angeles County, California",,,,,,
        Estimate,85.50%,5.50%,2.20%,0.70%,3.10%,3.10%
    Male,,,,,,
        Estimate,86.60%,4.60%,2.00%,1.10%,3.00%,2.60%
    Female,,,,,,
        Estimate,84.30%,6.40%,2.30%,0.20%,3.20%,3.60%
"Long Beach-Lakewood CCD, Los Angeles County, California",,,,,,
        Estimate,86.00%,4.80%,2.30%,0.80%,1.50%,4.70%
    Male,,,,,,
        Estimate,86.50%,4.50%,2.10%,1.10%,1.60%,4.10%
    Female,,,,,,
        Estimate,85.40%,5.20%,2.40%,0.40%,1.30%,5.30%
"Los Angeles CCD, Los Angeles County, California",,,,,,
        Estimate,74.70%,10.90%,4.40%,1.30%,1.90%,6.80%
    Male,,,,,,
        Estimate,75.40%,10.30%,4.00%,1.80%,2.10%,6.40%
    Female,,,,,,
        Estimate,73.90%,11.70%,4.80%,0.60%,1.70%,7.30%
"Newhall CCD, Los Angeles County, California",,,,,,
        Estimate,88.20%,2.50%,1.00%,0.30%,1.20%,6.80%
    Male,,,,,,
        Estimate,88.80%,2.50%,0.90%,0.30%,1.60%,5.80%
    Female,,,,,,
        Estimate,87.50%,2.60%,1.10%,0.20%,0.70%,7.90%
"North Antelope Valley CCD, Los Angeles County, California",,,,,,
        Estimate,91.70%,1.50%,0.80%,0.10%,0.80%,4.90%
    Male,,,,,,
        Estimate,93.70%,1.10%,0.80%,0.10%,0.90%,3.40%
    Female,,,,,,
        Estimate,89.40%,2.10%,0.90%,0.10%,0.80%,6.80%
"Palos Verdes CCD, Los Angeles County, California",,,,,,
        Estimate,84.30%,1.30%,3.90%,0.50%,1.40%,8.50%
    Male,,,,,,
        Estimate,85.70%,1.10%,3.90%,0.70%,1.30%,7.30%
    Female,,,,,,
        Estimate,82.60%,1.50%,3.90%,0.30%,1.60%,10.20%
"Pasadena CCD, Los Angeles County, California",,,,,,
        Estimate,80.40%,5.10%,3.80%,1.30%,2.00%,7.50%
    Male,,,,,,
        Estimate,79.90%,4.70%,4.00%,2.10%,2.20%,7.10%
    Female,,,,,,
        Estimate,81.00%,5.40%,3.60%,0.50%,1.80%,7.80%
"San Fernando Valley CCD, Los Angeles County, California",,,,,,
        Estimate,85.00%,4.60%,2.00%,0.50%,1.80%,6.10%
    Male,,,,,,
        Estimate,85.90%,4.00%,1.80%,0.70%,1.90%,5.60%
    Female,,,,,,
        Estimate,83.90%,5.30%,2.30%,0.20%,1.70%,6.60%
"Santa Monica CCD, Los Angeles County, California",,,,,,
        Estimate,70.80%,4.10%,6.80%,4.30%,1.90%,12.20%
    Male,,,,,,
        Estimate,69.30%,4.30%,7.60%,4.90%,2.20%,11.60%
    Female,,,,,,
        Estimate,72.30%,3.80%,5.90%,3.50%,1.60%,12.80%
"South Antelope Valley CCD, Los Angeles County, California",,,,,,
        Estimate,90.80%,1.60%,0.70%,0.20%,1.20%,5.50%
    Male,,,,,,
        Estimate,91.70%,1.20%,0.90%,0.30%,1.40%,4.60%
    Female,,,,,,
        Estimate,89.60%,2.10%,0.50%,0.00%,1.00%,6.70%
"South Bay Cities CCD, Los Angeles County, California",,,,,,
