"Label (Grouping)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","64.0%","0.2%","3.0%","0.4%","2.0%","30.4%"
"        Margin of Error","","±2.8","±0.1","±0.7","±0.3","±0.7","±2.6"
"    Male","","","","","","",""
"        Estimate","","64.1%","0.2%","2.6%","0.1%","1.7%","31.4%"
"        Margin of Error","","±3.6","±0.2","±1.0","±0.1","±1.0","±3.4"
"    Female","","","","","","",""
"        Estimate","","64.0%","0.1%","3.4%","0.6%","2.5%","29.3%"
"        Margin of Error","","±3.6","±0.1","±0.9","±0.6","±1.3","±3.1"
"Compton CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","87.4%","3.2%","1.1%","0.2%","2.0%","6.2%"
"        Margin of Error","","±0.8","±0.5","±0.2","±0.1","±0.4","±0.6"
"    Male","","","","","","",""
"        Estimate","","89.4%","2.9%","0.9%","0.2%","2.0%","4.5%"
"        Margin of Error","","±0.8","±0.6","±0.2","±0.1","±0.4","±0.6"
"    Female","","","","","","",""
"        Estimate","","85.0%","3.5%","1.3%","0.1%","1.9%","8.2%"
"        Margin of Error","","±1.2","±0.6","±0.3","±0.1","±0.5","±0.9"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","85.4%","2.2%","1.4%","0.4%","1.7%","8.9%"
"        Margin of Error","","±0.8","±0.3","±0.3","±0.1","±0.3","±0.5"
"    Male","","","","","","",""
"        Estimate","","87.4%","1.7%","1.7%","0.5%","1.7%","7.1%"
"        Margin of Error","","±0.9","±0.3","±0.4","±0.2","±0.4","±0.7"
"    Female","","","","","","",""
"        Estimate","","83.1%","2.8%","1.0%","0.3%","1.7%","11.2%"
"        Margin of Error","","±1.2","±0.5","±0.3","±0.2","±0.3","±0.8"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","83.2%","2.1%","1.7%","0.4%","1.3%","11.4%"
"        Margin of Error","","±0.5","±0.2","±0.1","±0.1","±0.1","±0.5"
"    Male","","","","","","",""
"        Estimate","","84.9%","1.9%","1.5%","0.6%","1.2%","9.8%"
"        Margin of Error","","±0.7","±0.2","±0.2","±0.1","±0.2","±0.5"
"    Female","","","","","","",""
"        Estimate","","81.2%","2.3%","1.9%","0.1%","1.3%","13.2%"
"        Margin of Error","","±0.7","±0.3","±0.2","±0.1","±0.2","±0.7"
"Inglewood CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","80.2%","4.5%","2.0%","0.8%","3.5%","9.1%"
"        Margin of Error","","±0.8","±0.5","±0.3","±0.2","±0.4","±0.6"
"    Male","","","","","","",""
"        Estimate","","81.5%","4.3%","2.1%","1.3%","3.7%","7.0%"
"        Margin of Error","","±1.0","±0.5","±0.3","±0.4","±0.5","±0.6"
"    Female","","","","","","",""
"        Estimate","","78.7%","4.7%","1.8%","0.2%","3.3%","11.3%"
"        Margin of Error","","±1.2","±0.7","±0.4","±0.1","±0.6","±0.8"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","78.1%","3.4%","2.4%","0.5%","1.5%","14.1%"
"        Margin of Error","","±0.8","±0.3","±0.3","±0.1","±0.2","±0.7"
"    Male","","","","","","",""
"        Estimate","","80.4%","3.0%","2.1%","0.7%","1.7%","12.2%"
"        Margin of Error","","±1.0","±0.4","±0.4","±0.2","±0.3","±0.8"
"    Female","","","","","","",""
"        Estimate","","75.6%","3.8%","2.6%","0.4%","1.4%","16.2%"
"        Margin of Error","","±1.0","±0.4","±0.4","±0.2","±0.2","±0.8"
"Los Angeles CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","66.1%","8.2%","4.0%","0.9%","2.1%","18.7%"
"        Margin of Error","","±0.4","±0.2","±0.1","±0.1","±0.1","±0.3"
"    Male","","","","","","",""
"        Estimate","","67.9%","7.8%","3.6%","1.3%","2.1%","17.3%"
"        Margin of Error","","±0.5","±0.3","±0.2","±0.1","±0.1","±0.4"
"    Female","","","","","","",""
"        Estimate","","64.0%","8.6%","4.6%","0.4%","2.1%","20.3%"
"        Margin of Error","","±0.5","±0.3","±0.2","±0.1","±0.2","±0.4"
"Newhall CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","79.5%","1.7%","0.7%","0.1%","1.9%","16.2%"
"        Margin of Error","","±0.9","±0.4","±0.2","±0.1","±0.4","±0.7"
"    Male","","","","","","",""
"        Estimate","","81.3%","1.5%","0.6%","0.1%","1.9%","14.5%"
"        Margin of Error","","±1.2","±0.4","±0.2","±0.1","±0.5","±0.9"
"    Female","","","","","","",""
"        Estimate","","77.2%","2.0%","0.8%","0.0%","1.9%","18.2%"
"        Margin of Error","","±1.5","±0.5","±0.3","±0.1","±0.5","±1.3"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","86.3%","1.3%","1.2%","0.4%","1.2%","9.6%"
"        Margin of Error","","±1.3","±0.3","±0.3","±0.2","±0.4","±1.0"
"    Male","","","","","","",""
"        Estimate","","87.2%","1.3%","1.1%","0.4%","1.5%","8.5%"
"        Margin of Error","","±1.7","±0.5","±0.4","±0.3","±0.5","±1.4"
"    Female","","","","","","",""
"        Estimate","","85.2%","1.3%","1.4%","0.3%","1.0%","10.8%"
"        Margin of Error","","±1.6","±0.4","±0.5","±0.2","±0.4","±1.4"
"Palos Verdes CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","73.6%","1.2%","4.2%","0.8%","1.0%","19.2%"
"        Margin of Error","","±2.0","±0.5","±1.0","±0.5","±0.4","±1.5"
"    Male","","","","","","",""
"        Estimate","","75.1%","1.1%","4.0%","1.3%","0.8%","17.7%"
"        Margin of Error","","±2.4","±0.7","±1.1","±0.9","±0.4","±1.9"
"    Female","","","","","","",""
"        Estimate","","71.6%","1.3%","4.6%","0.1%","1.2%","21.2%"
"        Margin of Error","","±3.1","±0.7","±1.6","±0.1","±0.7","±2.4"
"Pasadena CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","66.8%","3.2%","3.1%","0.9%","2.4%","23.6%"
"        Margin of Error","","±1.2","±0.5","±0.4","±0.2","±0.4","±1.2"
"    Male","","","","","","",""
"        Estimate","","66.6%","2.9%","3.5%","1.5%","2.2%","23.3%"
"        Margin of Error","","±1.5","±0.7","±0.6","±0.3","±0.4","±1.5"
"    Female","","","","","","",""
"        Estimate","","67.0%","3.6%","2.6%","0.2%","2.6%","24.0%"
"        Margin of Error","","±1.4","±0.6","±0.5","±0.1","±0.6","±1.4"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","75.7%","3.2%","1.8%","0.3%","1.9%","17.0%"
"        Margin of Error","","±0.5","±0.2","±0.1","±0.1","±0.1","±0.4"
"    Male","","","","","","",""
"        Estimate","","77.5%","3.0%","1.6%","0.5%","1.9%","15.6%"
"        Margin of Error","","±0.6","±0.2","±0.1","±0.1","±0.2","±0.5"
"    Female","","","","","","",""
"        Estimate","","73.7%","3.5%","2.0%","0.1%","1.9%","18.7%"
"        Margin of Error","","±0.6","±0.2","±0.2","±0.1","±0.2","±0.5"
"Santa Monica CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","53.6%","2.8%","5.4%","2.7%","2.5%","33.1%"
"        Margin of Error","","±2.3","±0.6","±0.9","±0.7","±0.9","±2.1"
"    Male","","","","","","",""
"        Estimate","","53.0%","3.4%","5.7%","3.6%","2.2%","32.1%"
"        Margin of Error","","±3.1","±1.0","±1.3","±1.1","±0.9","±2.9"
"    Female","","","","","","",""
"        Estimate","","54.2%","2.1%","5.1%","1.7%","2.8%","34.1%"
"        Margin of Error","","±3.4","±0.7","±1.4","±0.6","±1.3","±3.1"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","86.3%","1.2%","0.9%","0.0%","2.0%","9.5%"
"        Margin of Error","","±1.1","±0.3","±0.2","±0.1","±0.5","±0.8"
"    Male","","","","","","",""
"        Estimate","","88.6%","1.2%","0.6%","0.0%","1.6%","7.9%"
"        Margin of Error","","±1.2","±0.4","±0.3","±0.1","±0.6","±1.0"
"    Female","","","","","","",""
"        Estimate","","83.2%","1.3%","1.3%","0.0%","2.6%","11.6%"
"        Margin of Error","","±1.5","±0.4","±0.4","±0.1","±0.8","±1.2"
"South Bay Cities CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","65.1%","0.7%","2.7%","0.8%","1.6%","29.1%"
"        Margin of Error","","±1.6","±0.2","±0.7","±0.3","±0.4","±1.5"
"    Male","","","","","","",""
"        Estimate","","66.4%","0.9%","2.5%","1.3%","1.7%","27.2%"
"        Margin of Error","","±2.1","±0.4","±0.7","±0.5","±0.5","±2.0"
"    Female","","","","","","",""
"        Estimate","","63.6%","0.5%","2.9%","0.2%","1.4%","31.5%"
"        Margin of Error","","±2.4","±0.2","±1.2","±0.1","±0.5","±2.2"
"South Gate-East Los Angeles CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","83.2%","5.4%","2.5%","0.5%","2.4%","5.9%"
"        Margin of Error","","±0.7","±0.4","±0.3","±0.1","±0.3","±0.5"
"    Male","","","","","","",""
"        Estimate","","87.1%","4.2%","1.8%","0.7%","2.0%","4.1%"
"        Margin of Error","","±0.7","±0.5","±0.3","±0.2","±0.3","±0.5"
"    Female","","","","","","",""
"        Estimate","","77.9%","7.1%","3.4%","0.1%","3.0%","8.4%"
"        Margin of Error","","±1.1","±0.6","±0.5","±0.1","±0.4","±0.8"
"Southwest San Gabriel Valley CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","82.3%","2.4%","1.6%","0.8%","1.2%","11.7%"
"        Margin of Error","","±0.8","±0.3","±0.3","±0.2","±0.2","±0.7"
"    Male","","","","","","",""
"        Estimate","","83.4%","1.6%","1.6%","1.1%","1.1%","11.2%"
"        Margin of Error","","±1.0","±0.3","±0.5","±0.3","±0.2","±0.9"
"    Female","","","","","","",""
"        Estimate","","81.0%","3.4%","1.6%","0.5%","1.3%","12.3%"
"        Margin of Error","","±1.1","±0.5","±0.4","±0.2","±0.3","±0.9"
"Torrance CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","77.4%","1.1%","1.0%","0.4%","1.6%","18.5%"
"        Margin of Error","","±1.5","±0.4","±0.3","±0.2","±0.5","±1.3"
"    Male","","","","","","",""
"        Estimate","","78.9%","1.2%","0.7%","0.6%","1.3%","17.2%"
"        Margin of Error","","±1.9","±0.7","±0.3","±0.4","±0.5","±1.6"
"    Female","","","","","","",""
"        Estimate","","75.5%","1.0%","1.2%","0.2%","2.0%","20.1%"
"        Margin of Error","","±1.9","±0.4","±0.4","±0.2","±0.8","±1.9"
"Upper San Gabriel Valley CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","80.5%","3.1%","1.5%","0.5%","1.5%","12.9%"
"        Margin of Error","","±1.1","±0.5","±0.2","±0.1","±0.3","±0.8"
"    Male","","","","","","",""
"        Estimate","","81.3%","3.5%","1.5%","0.6%","1.3%","11.7%"
"        Margin of Error","","±1.4","±0.7","±0.3","±0.2","±0.4","±1.0"
"    Female","","","","","","",""
"        Estimate","","79.6%","2.6%","1.6%","0.2%","1.7%","14.2%"
"        Margin of Error","","±1.2","±0.5","±0.4","±0.1","±0.4","±1.0"
"Whittier CCD, Los Angeles County, California","","","","","","",""
"    Total","","","","","","",""
"        Estimate","","85.0%","1.6%","1.3%","0.4%","1.4%","10.4%"
"        Margin of Error","","±0.8","±0.3","±0.2","±0.2","±0.3","±0.7"
"    Male","","","","","","",""
"        Estimate","","86.6%","1.4%","1.1%","0.6%","1.4%","9.0%"
"        Margin of Error","","±1.1","±0.4","±0.2","±0.3","±0.4","±0.8"
"    Female","","","","","","",""
"        Estimate","","83.1%","1.8%","1.5%","0.1%","1.5%","12.0%"
"        Margin of Error","","±1.1","±0.5","±0.3","±0.1","±0.4","±1.0"
