"Label (Grouping)","Agoura Hills-Malibu CCD, Los Angeles County, California!!Estimate","Compton CCD, Los Angeles County, California!!Estimate","Downey-Norwalk CCD, Los Angeles County, California!!Estimate","East San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Inglewood CCD, Los Angeles County, California!!Estimate","Long Beach-Lakewood CCD, Los Angeles County, California!!Estimate","Los Angeles CCD, Los Angeles County, California!!Estimate","Newhall CCD, Los Angeles County, California!!Estimate","North Antelope Valley CCD, Los Angeles County, California!!Estimate","Palos Verdes CCD, Los Angeles County, California!!Estimate","Pasadena CCD, Los Angeles County, California!!Estimate","San Fernando Valley CCD, Los Angeles County, California!!Estimate","Santa Monica CCD, Los Angeles County, California!!Estimate","South Antelope Valley CCD, Los Angeles County, California!!Estimate","South Bay Cities CCD, Los Angeles County, California!!Estimate","South Gate-East Los Angeles CCD, Los Angeles County, California!!Estimate","Southwest San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Torrance CCD, Los Angeles County, California!!Estimate","Upper San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Whittier CCD, Los Angeles County, California!!Estimate"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","",""
"    Population 16 years and over","49,830","265,638","327,412","756,278","292,189","463,315","2,110,838","209,249","155,339","73,809","220,493","1,492,887","79,930","167,080","111,848","364,784","263,253","116,729","257,788","255,227"
"        In labor force","29,807","165,612","209,765","476,366","195,891","309,157","1,402,917","137,090","84,533","43,179","145,579","992,371","54,093","101,091","78,002","227,877","161,396","75,234","159,565","159,532"
"            Civilian labor force","29,807","165,454","209,472","475,952","195,559","308,735","1,401,302","137,014","84,143","42,943","145,488","992,075","54,022","100,934","77,679","227,794","161,192","75,008","159,437","159,388"
"                Employed","27,613","152,525","196,632","447,145","180,619","289,437","1,287,495","129,077","78,056","40,944","137,356","916,823","50,741","94,004","73,643","211,015","151,647","70,878","150,171","151,876"
"                Unemployed","2,194","12,929","12,840","28,807","14,940","19,298","113,807","7,937","6,087","1,999","8,132","75,252","3,281","6,930","4,036","16,779","9,545","4,130","9,266","7,512"
"            Armed Forces","0","158","293","414","332","422","1,615","76","390","236","91","296","71","157","323","83","204","226","128","144"
"        Not in labor force","20,023","100,026","117,647","279,912","96,298","154,158","707,921","72,159","70,806","30,630","74,914","500,516","25,837","65,989","33,846","136,907","101,857","41,495","98,223","95,695"
"    Civilian labor force","29,807","165,454","209,472","475,952","195,559","308,735","1,401,302","137,014","84,143","42,943","145,488","992,075","54,022","100,934","77,679","227,794","161,192","75,008","159,437","159,388"
"        Unemployment Rate","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females 16 years and over","25,947","136,491","166,644","385,380","151,439","237,108","1,065,044","103,472","78,557","37,128","113,017","761,977","41,642","84,603","55,060","183,532","133,929","60,035","131,956","131,177"
"        In labor force","14,167","76,922","95,798","220,799","93,662","146,576","651,995","61,369","39,768","19,190","67,651","461,397","26,883","44,979","35,649","97,579","74,972","34,187","74,871","74,316"
"            Civilian labor force","14,167","76,922","95,776","220,739","93,543","146,504","651,794","61,369","39,734","19,183","67,651","461,336","26,872","44,912","35,441","97,563","74,938","34,180","74,826","74,316"
"                Employed","13,128","71,392","89,703","207,471","86,513","137,231","597,449","57,905","36,616","18,149","64,347","425,707","25,645","41,533","33,520","90,358","71,124","32,361","70,517","70,726"
"    Own children of the householder under 6 years","2,410","21,292","25,965","52,750","25,178","35,015","144,269","18,895","13,396","5,159","15,546","110,101","4,460","16,641","9,790","30,864","16,394","8,368","19,505","18,349"
"        All parents in family in labor force","1,799","14,786","16,879","36,437","17,631","24,940","94,517","12,388","7,914","3,194","10,751","72,972","3,789","10,215","6,979","18,982","11,084","5,316","13,119","12,680"
"    Own children of the householder 6 to 17 years","9,269","53,118","61,566","127,553","54,224","75,765","303,484","45,382","37,735","13,931","33,884","238,920","8,210","40,102","22,162","83,144","37,199","20,641","45,946","44,918"
"        All parents in family in labor force","6,392","35,125","44,827","89,230","39,710","53,849","202,086","31,036","21,906","8,797","24,271","167,462","5,937","23,502","15,141","52,673","26,659","13,995","31,527","32,979"
"COMMUTING TO WORK","","","","","","","","","","","","","","","","","","","",""
"    Workers 16 years and over","26,813","149,032","190,552","434,312","174,552","281,893","1,250,544","125,258","76,221","39,919","134,488","891,705","49,796","91,585","72,225","205,779","148,137","68,734","145,789","148,268"
"        Car, truck, or van -- drove alone","16,085","112,894","140,950","311,346","121,026","195,857","726,202","88,823","57,284","27,033","82,134","596,193","25,183","68,056","44,168","141,963","105,352","48,903","101,208","111,685"
"        Car, truck, or van -- carpooled","1,088","17,337","21,857","50,144","18,933","24,359","100,386","10,746","8,460","2,336","7,731","79,085","1,508","10,948","2,872","29,244","16,551","4,275","16,193","14,290"
"        Public transportation (excluding taxicab)","43","4,721","4,248","9,022","7,820","9,587","102,289","2,154","986","473","4,304","28,839","1,379","1,111","499","11,213","3,601","772","4,518","2,345"
"        Walked","799","1,612","2,583","7,297","3,448","6,654","50,488","858","933","1,696","4,171","15,982","2,689","869","1,927","5,098","2,351","660","2,244","1,890"
"        Other means","643","3,186","3,920","7,171","7,492","5,809","37,709","2,443","1,237","711","4,412","19,789","2,556","1,886","1,719","6,054","2,931","1,399","2,851","2,636"
"        Worked from home","8,155","9,282","16,994","49,332","15,833","39,627","233,470","20,234","7,321","7,670","31,736","151,817","16,481","8,715","21,040","12,207","17,351","12,725","18,775","15,422"
"        Mean travel time to work (minutes)","29.1","29.2","30.0","31.9","29.2","29.8","30.8","34.1","32.9","29.4","27.8","30.7","25.8","41.1","27.4","31.5","29.9","27.4","29.5","32.2"
"OCCUPATION","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","27,613","152,525","196,632","447,145","180,619","289,437","1,287,495","129,077","78,056","40,944","137,356","916,823","50,741","94,004","73,643","211,015","151,647","70,878","150,171","151,876"
"        Management, business, science, and arts occupations","18,524","38,242","65,795","161,947","53,986","117,276","584,042","60,451","27,459","23,336","83,934","402,270","35,931","29,722","49,759","36,925","55,688","39,435","59,959","54,911"
"        Service occupations","2,663","31,680","34,495","78,460","45,216","53,534","243,213","20,681","15,414","4,441","18,518","163,128","4,658","18,988","6,018","43,647","29,519","8,299","25,923","23,272"
"        Sales and office occupations","4,859","33,404","45,962","99,572","39,961","61,315","233,542","28,131","14,981","8,069","23,298","182,934","7,784","18,475","12,926","46,517","34,885","14,900","32,844","38,103"
"        Natural resources, construction, and maintenance occupations","739","15,303","17,512","37,303","14,517","19,279","85,968","8,411","9,334","1,475","5,329","73,210","1,157","12,372","1,571","26,604","9,232","2,806","10,587","12,565"
"        Production, transportation, and material moving occupations","828","33,896","32,868","69,863","26,939","38,033","140,730","11,403","10,868","3,623","6,277","95,281","1,211","14,447","3,369","57,322","22,323","5,438","20,858","23,025"
"INDUSTRY","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","27,613","152,525","196,632","447,145","180,619","289,437","1,287,495","129,077","78,056","40,944","137,356","916,823","50,741","94,004","73,643","211,015","151,647","70,878","150,171","151,876"
"        Agriculture, forestry, fishing and hunting, and mining","58","728","862","3,301","961","1,265","4,100","367","540","236","410","4,506","165","613","157","1,373","851","70","827","798"
"        Construction","1,116","11,068","13,065","29,467","11,338","16,512","72,090","6,893","6,467","1,519","5,351","64,786","1,090","9,521","2,361","19,921","7,421","3,170","9,215","9,495"
"        Manufacturing","1,591","18,138","22,783","45,427","15,342","27,064","82,904","12,099","8,143","4,198","6,412","65,840","2,516","10,543","7,878","28,808","14,387","9,344","14,412","17,254"
"        Wholesale trade","612","5,757","8,151","20,071","3,779","7,141","35,380","3,164","1,029","1,629","2,930","18,044","825","1,487","2,349","11,592","5,894","2,457","6,426","6,099"
"        Retail trade","1,647","15,512","20,742","48,163","19,704","28,924","116,464","13,570","8,129","3,265","10,091","90,305","3,293","10,261","4,826","24,922","14,890","6,456","15,484","16,370"
"        Transportation and warehousing, and utilities","843","18,237","16,597","34,966","17,747","23,494","67,834","6,175","5,213","3,145","5,416","45,921","1,555","7,489","2,921","21,945","12,112","4,821","10,138","11,780"
"        Information","2,038","2,277","3,031","6,998","3,735","6,840","87,476","7,131","1,188","1,127","7,630","62,434","5,674","1,893","4,764","2,382","2,990","2,589","2,955","2,803"
"        Finance and insurance, and real estate and rental and leasing","3,168","5,366","9,960","24,978","7,546","14,935","71,950","8,546","3,596","3,800","10,115","60,859","4,641","4,291","7,787","5,964","8,930","5,160","9,715","7,946"
"        Professional, scientific, and management, and administrative and waste management services","5,002","15,251","19,094","47,827","21,904","38,695","218,093","15,634","7,559","6,560","25,051","128,127","12,361","10,034","15,606","19,130","15,677","10,717","17,892","15,557"
"        Educational services, and health care and social assistance","6,481","33,988","45,965","105,040","36,568","68,473","255,614","29,581","20,471","8,666","37,706","202,262","10,346","20,719","14,451","35,614","33,407","15,446","34,958","35,382"
"        Arts, entertainment, and recreation, and accommodation and food services","3,208","12,361","18,129","40,092","23,007","30,764","163,989","12,190","5,200","3,275","12,719","96,453","5,177","7,421","5,526","20,895","17,453","5,789","14,094","12,911"
"        Other services, except public administration","1,045","7,474","9,652","21,569","10,893","13,677","76,879","5,693","4,278","1,889","6,771","51,026","1,825","4,993","2,779","12,337","9,697","2,811","8,621","7,217"
"        Public administration","804","6,368","8,601","19,246","8,095","11,653","34,722","8,034","6,243","1,635","6,754","26,260","1,273","4,739","2,238","6,132","7,938","2,048","5,434","8,264"
"CLASS OF WORKER","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","27,613","152,525","196,632","447,145","180,619","289,437","1,287,495","129,077","78,056","40,944","137,356","916,823","50,741","94,004","73,643","211,015","151,647","70,878","150,171","151,876"
"        Private wage and salary workers","21,018","120,922","154,150","349,095","139,197","223,232","1,013,193","97,712","55,397","31,569","102,017","717,643","39,473","69,055","60,566","172,410","118,174","57,472","118,749","117,558"
"        Government workers","2,872","22,529","30,935","67,173","27,635","44,112","135,060","21,731","17,746","5,299","20,086","99,830","5,252","16,427","6,919","22,105","22,778","8,475","19,852","26,886"
"        Self-employed in own not incorporated business workers","3,564","8,798","11,240","30,206","13,218","21,600","136,605","9,369","4,566","3,990","15,044","96,697","5,928","8,344","5,866","15,918","10,327","4,772","11,188","7,239"
"        Unpaid family workers","159","276","307","671","569","493","2,637","265","347","86","209","2,653","88","178","292","582","368","159","382","193"
"INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","",""
