,,Average Ons,Combined Transfer Stations
801,,,
,1001-Downtown Long Beach Station,2646.833333,
,1002-Pacific Ave Station,755.8333333,
,1003-1st Street Station,296.5833333,
,1004-5th Street Station,349.3333333,
,1005-Anaheim Street Station,1809.583333,
,1006-Pacific Coast Hwy Station,1675.916667,
,1007-Willow Street Station,1425.833333,
,1008-Wardlow Station,744.5,
,1009-Del Amo Station,1404,
,1010-Artesia Station,1634.166667,
,1011-Compton Station,2045.25,
,1012-Willowbrook / Rosa Parks Station - A Line,4413.916667,8073.083333
,1013-103rd Street / Watts Towers Station,1889.333333,
,1014-Firestone Station,1537.25,
,1015-Florence Station,2430.916667,
,1016-Slauson Station,1328.916667,
,1017-Vernon Station,1670.333333,
,1018-Washington Station,1003.25,
,1019-San Pedro Street Station,1505.666667,
,1020-Grand / LATTC Station,2108.166667,
,1021-Pico Station,2889.833333,5527.5
,1022-7th Street / Metro Center Station - A / E Line,6162.5,30493.38333
,1023-Grand Arts / Bunker Hill Station,850.4166667,1646.5
,1024-Historic Broadway Station,818.25,1687.083333
,1025-Little Tokyo / Arts District Station,1990.5,4035.5
,1026-Union Station - A Line,4634.166667,13989.38333
,1027-Chinatown Station,1180.833333,
,1028-Lincoln Heights / Cypress Park Station,950.1666667,
,1029-Heritage Square / Arroyo Station,445.5833333,
,1030-Southwest Museum Station,429.1666667,
,1031-Highland Park Station,1459.416667,
,1032-South Pasadena Station,884.6666667,
,1033-Fillmore Station,951.8333333,
,1034-Del Mar Station,997.9166667,
,1035-Memorial Park Station,1351.75,
,1036-Lake Station,979.3333333,
,1037-Allen Station,734.5833333,
,1038-Sierra Madre Villa Station,1023.666667,
,1039-Arcadia Station,886.6666667,
,1040-Monrovia Station,736.6666667,
,1041-Duarte / City of Hope Station,620.0833333,
,1042-Irwindale Station,380.75,
,1043-Azusa Downtown Station,965.5833333,
,1044-APU Station,1615.666667,
802,,,
,4001-Union Station - Metro Red & Purple Lines,5791.416667,13989.38333
,4002-Civic Center / Grand Park Station,1431,2352.5
,4003-Pershing Square Station,3329.5,4973.1
,4004-7th Street / Metro Center Station - Metro Red & Purple Lines,12221.75,30493.38333
,4005-Westlake / MacArthur Park Station,3788.333333,5788.433333
,4006-Wilshire / Vermont Station,3804.416667,5755.316667
,4007-Vermont / Beverly Station,2016.583333,
,4008-Vermont / Santa Monica Station,2508.5,
,4009-Vermont / Sunset Station,2270.166667,
,4010-Hollywood / Western Station,2510.083333,
,4011-Hollywood / Vine Station,2673.5,
,4012-Hollywood / Highland Station,3766.833333,
,4013-Universal / Studio City Station,3408.083333,
,4014-North Hollywood Station,6434.083333,
,5001-Union Station - Metro Red & Purple Lines,3563.8,13989.38333
,5002-Civic Center / Grand Park Station,921.5,2352.5
,5003-Pershing Square Station,1643.6,4973.1
,5004-7th Street / Metro Center Station - Metro Red & Purple Lines,6438.3,30493.38333
,5005-Westlake / MacArthur Park Station,2000.1,5788.433333
,5006-Wilshire / Vermont Station,1950.9,5755.316667
,5007-Wilshire / Normandie Station,1522.9,
,5008-Wilshire / Western Station,2401.3,
803,,,
,3001-Norwalk Station,2141.083333,
,3002-Lakewood Blvd Station,1246.5,
,3003-Long Beach Blvd Station,1282.583333,
,3004-Willowbrook / Rosa Parks Station - C Line,3659.166667,8073.083333
,3005-Avalon Station,1162.666667,
,3006-Harbor Station,1977.583333,
,3007-Vermont / Athens Station,1538.166667,
,3008-Crenshaw Station,1336.916667,
,3009-Hawthorne / Lennox Station,1470.083333,
,3010-Aviation Station,1906.833333,
,3011-Aviation Century Station - C Line,1360.444444,2462.777778
,3012-AMC / LAX Station - C Line,2140,3281
804,,,
,0001-Downtown Santa Monica Station,4647.833333,
,0002-17th Street / SMC Station,1606.416667,
,0003-26th Street / Bergamot Station,1019.5,
,0004-Expo / Bundy Station,1481.75,
,0005-Expo / Sepulveda Station,1661.666667,
,0006-Westwood / Rancho Park Station,1168.166667,
,0007-Palms Station,975.4166667,
,0008-Culver City Station,2012.083333,
,0009-La Cienega / Jefferson Station,1476.333333,
,0010-Expo / La Brea / Ethel Bradley Station,1553.666667,
,0011-Farmdale Station,910.25,
,0012-Expo / Crenshaw Station - E Line,2473.75,3739.75
,0013-Expo / Western Station,2620.25,
,0014-Expo / Vermont Station,2729.916667,
,0015-Expo Park / USC Station,1317.666667,
,0016-Jefferson / USC Station,1305.75,
,0017-LATTC / Ortho Institute Station,1966.083333,
,0018-Pico Station,2637.666667,5527.5
,0019-7th Street / Metro Center Station - A / E Line,5670.833333,30493.38333
,0020-Grand Arts / Bunker Hill Station,796.0833333,1646.5
,0021-Historic Broadway Station,868.8333333,1687.083333
,0022-Little Tokyo / Arts District Station,2045,4035.5
,0023-Pico/Aliso Station,742.1666667,
,0024-Mariachi Plaza / Boyle Heights Station,548.1666667,
,0025-Soto Station,1206.833333,
,0026-Indiana Station,845.75,
,0027-Maravilla Station,376.3333333,
,0028-East LA Civic Center Station,483.0833333,
,0029-Atlantic Station,2008.333333,
807,,,
,6001-Expo / Crenshow Station - K Line,1266,3739.75
,6002-Martin Luther King Station,243.25,
,6003-Leimert Park Station,242.5,
,6004-Hyde Park Station,393.5833333,
,6005-Fairview Heights Station,253.5,
,6006-Downtown Inglewood Station,427.0833333,
,6007-Westchester Station,503.25,
,6008-AMC / LAX Station - K Line,1141,3281
,6009-Aviation Century Station - K Line,1102.333333,2462.777778
,6010-Mariposa Station,432.9166667,
,6011-El Segundo Station,370,
,6012-Douglas Station,314.75,
,6013-Redondo Beach Station,847.5833333,
