X,Y,OBJECTID,MetroLine,Station,StopNumber,TOOLTIP,NLA_URL
-13157175.78,3997701.981,1,,Downtown Long Beach Station,80101,Stop: Downtown Long Beach Station\nStop No: 80101,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13157262.5,3998262.68,2,,Pacific Ave Station,80102,Stop: Pacific Ave Station\nStop No: 80102,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13156782.04,3999544.611,3,,Anaheim Street Station,80105,Stop: Anaheim Street Station\nStop No: 80105,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13156781.82,4000517.002,4,,Pacific Coast Hwy Station,80106,Stop: Pacific Coast Hwy Station\nStop No: 80106,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13156832.14,4002926.773,5,,Willow Street Station,80107,Stop: Willow Street Station\nStop No: 80107,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13157528.55,4004639.867,6,,Wardlow Station,80108,Stop: Wardlow Station\nStop No: 80108,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13159190.22,4008440.111,7,,Del Amo Station,80109,Stop: Del Amo Station\nStop No: 80109,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13160468.83,4012174.978,8,,Artesia Station,80110,Stop: Artesia Station\nStop No: 80110,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13160663.2,4015045.729,9,,Compton Station,80111,Stop: Compton Station\nStop No: 80111,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13162144.42,4019144.717,10,,Willowbrook - Rosa Parks Station - Metro A-Line,80112,Stop: Willowbrook - Rosa Parks Station - Metro A-Line\nStop No: 80112,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13162768.25,4021046.22,11,,103rd Street / Watts Towers  Station,80113,Stop: 103rd Street / Watts Towers  Station\nStop No: 80113,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13162773.37,4023380.059,12,,Firestone Station,80114,Stop: Firestone Station\nStop No: 80114,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13162780.72,4025276.495,13,,Florence Station,80115,Stop: Florence Station\nStop No: 80115,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13162794.86,4027292.869,14,,Slauson Station,80116,Stop: Slauson Station\nStop No: 80116,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13162784.28,4029194.118,15,,Vernon Station,80117,Stop: Vernon Station\nStop No: 80117,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13162759.9,4031440.846,16,,Washington Station,80118,Stop: Washington Station\nStop No: 80118,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13164142.6,4032402.12,17,,San Pedro Street Station,80119,Stop: San Pedro Street Station\nStop No: 80119,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13165681.93,4033254.802,18,,Grand / LATTC Station,80120,Stop: Grand / LATTC Station\nStop No: 80120,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13165324.03,4034273.054,19,,Pico Station,80121,Stop: Pico Station\nStop No: 80121,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13164511.85,4035331.031,20,,7th Street / Metro Center Station - Metro A & E Lines,80122,Stop: 7th Street / Metro Center Station - Metro A & E Lines\nStop No: 80122,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13166157.26,4032711.727,21,,LATTC / Ortho Institute Station,80123,Stop: LATTC / Ortho Institute Station\nStop No: 80123,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13166659.87,4031772.992,22,,Jefferson / USC Station,80124,Stop: Jefferson / USC Station\nStop No: 80124,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13167507.68,4031249.73,23,,Expo Park / USC Station,80125,Stop: Expo Park / USC Station\nStop No: 80125,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13168154,4031252.147,24,,Expo / Vermont Station,80126,Stop: Expo / Vermont Station\nStop No: 80126,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13170087.62,4031263.697,25,,Expo / Western Station,80127,Stop: Expo / Western Station\nStop No: 80127,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13173000.63,4031827.119,26,,Expo / Crenshaw E-Line Station,80128,Stop: Expo / Crenshaw E-Line Station\nStop No: 80128,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13174227.03,4032022.543,27,,Farmdale Station,80129,Stop: Farmdale Station\nStop No: 80129,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13175236.03,4032132.95,28,,Expo / La Brea / Ethel Bradley Station,80130,Stop: Expo / La Brea / Ethel Bradley Station\nStop No: 80130,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13177124.12,4032341.408,29,,La Cienega / Jefferson Station,80131,Stop: La Cienega / Jefferson Station\nStop No: 80131,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13179001.64,4032548.393,30,,Culver City Station,80132,Stop: Culver City Station\nStop No: 80132,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13180701.37,4032740.069,31,,Palms Station,80133,Stop: Palms Station\nStop No: 80133,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13182963.5,4033746.587,32,,Westwood / Rancho Park Station,80134,Stop: Westwood / Rancho Park Station\nStop No: 80134,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
-13184038.62,4033557.447,33,,Expo / Sepulveda Station,80135,Stop: Expo / Sepulveda Station\nStop No: 80135,"https://www.metro.net/riding/schedules-2/?nla_target=1&nla_win=p,75,75"
