"Label (Grouping)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home"
"Agoura Hills-Malibu CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","14.5%"
"        Margin of Error","±1.7"
"    Male",""
"        Estimate","13.5%"
"        Margin of Error","±2.0"
"    Female",""
"        Estimate","15.6%"
"        Margin of Error","±2.4"
"Compton CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","2.7%"
"        Margin of Error","±0.3"
"    Male",""
"        Estimate","2.0%"
"        Margin of Error","±0.3"
"    Female",""
"        Estimate","3.7%"
"        Margin of Error","±0.5"
"Downey-Norwalk CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","3.3%"
"        Margin of Error","±0.3"
"    Male",""
"        Estimate","2.4%"
"        Margin of Error","±0.3"
"    Female",""
"        Estimate","4.3%"
"        Margin of Error","±0.5"
"East San Gabriel Valley CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","4.3%"
"        Margin of Error","±0.2"
"    Male",""
"        Estimate","3.7%"
"        Margin of Error","±0.3"
"    Female",""
"        Estimate","5.1%"
"        Margin of Error","±0.3"
"Inglewood CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","3.1%"
"        Margin of Error","±0.3"
"    Male",""
"        Estimate","2.6%"
"        Margin of Error","±0.4"
"    Female",""
"        Estimate","3.6%"
"        Margin of Error","±0.5"
"Long Beach-Lakewood CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","4.7%"
"        Margin of Error","±0.3"
"    Male",""
"        Estimate","4.1%"
"        Margin of Error","±0.4"
"    Female",""
"        Estimate","5.3%"
"        Margin of Error","±0.4"
"Los Angeles CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","6.8%"
"        Margin of Error","±0.2"
"    Male",""
"        Estimate","6.4%"
"        Margin of Error","±0.2"
"    Female",""
"        Estimate","7.3%"
"        Margin of Error","±0.2"
"Newhall CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","6.8%"
"        Margin of Error","±0.5"
"    Male",""
"        Estimate","5.8%"
"        Margin of Error","±0.6"
"    Female",""
"        Estimate","7.9%"
"        Margin of Error","±0.7"
"North Antelope Valley CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","4.9%"
"        Margin of Error","±0.6"
"    Male",""
"        Estimate","3.4%"
"        Margin of Error","±0.7"
"    Female",""
"        Estimate","6.8%"
"        Margin of Error","±1.0"
"Palos Verdes CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","8.5%"
"        Margin of Error","±1.0"
"    Male",""
"        Estimate","7.3%"
"        Margin of Error","±1.1"
"    Female",""
"        Estimate","10.2%"
"        Margin of Error","±1.6"
"Pasadena CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","7.5%"
"        Margin of Error","±0.5"
"    Male",""
"        Estimate","7.1%"
"        Margin of Error","±0.7"
"    Female",""
"        Estimate","7.8%"
"        Margin of Error","±0.7"
"San Fernando Valley CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","6.1%"
"        Margin of Error","±0.2"
"    Male",""
"        Estimate","5.6%"
"        Margin of Error","±0.2"
"    Female",""
"        Estimate","6.6%"
"        Margin of Error","±0.3"
"Santa Monica CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","12.2%"
"        Margin of Error","±1.4"
"    Male",""
"        Estimate","11.6%"
"        Margin of Error","±1.9"
"    Female",""
"        Estimate","12.8%"
"        Margin of Error","±1.9"
"South Antelope Valley CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","5.5%"
"        Margin of Error","±0.6"
"    Male",""
"        Estimate","4.6%"
"        Margin of Error","±0.8"
"    Female",""
"        Estimate","6.7%"
"        Margin of Error","±1.0"
"South Bay Cities CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","9.7%"
"        Margin of Error","±0.9"
"    Male",""
"        Estimate","8.7%"
"        Margin of Error","±1.1"
"    Female",""
"        Estimate","10.9%"
"        Margin of Error","±1.3"
"South Gate-East Los Angeles CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","2.4%"
"        Margin of Error","±0.2"
"    Male",""
"        Estimate","1.3%"
"        Margin of Error","±0.2"
"    Female",""
"        Estimate","3.9%"
"        Margin of Error","±0.4"
"Southwest San Gabriel Valley CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","4.3%"
"        Margin of Error","±0.3"
"    Male",""
"        Estimate","4.4%"
"        Margin of Error","±0.5"
"    Female",""
"        Estimate","4.3%"
"        Margin of Error","±0.4"
"Torrance CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","5.5%"
"        Margin of Error","±0.6"
"    Male",""
"        Estimate","4.1%"
"        Margin of Error","±0.7"
"    Female",""
"        Estimate","7.1%"
"        Margin of Error","±1.0"
"Upper San Gabriel Valley CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","5.0%"
"        Margin of Error","±0.4"
"    Male",""
"        Estimate","4.6%"
"        Margin of Error","±0.6"
"    Female",""
"        Estimate","5.5%"
"        Margin of Error","±0.6"
"Whittier CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","3.7%"
"        Margin of Error","±0.4"
"    Male",""
"        Estimate","3.8%"
"        Margin of Error","±0.5"
"    Female",""
"        Estimate","3.7%"
"        Margin of Error","±0.5"
