CCD,Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)
"Agoura Hills-Malibu CCD, Los Angeles County, California",29.1
"Compton CCD, Los Angeles County, California",29.2
"Downey-Norwalk CCD, Los Angeles County, California",30
"East San Gabriel Valley CCD, Los Angeles County, California",31.9
"Inglewood CCD, Los Angeles County, California",29.2
"Long Beach-Lakewood CCD, Los Angeles County, California",29.8
"Los Angeles CCD, Los Angeles County, California",30.8
"Newhall CCD, Los Angeles County, California",34.1
"North Antelope Valley CCD, Los Angeles County, California",32.9
"Palos Verdes CCD, Los Angeles County, California",29.4
"Pasadena CCD, Los Angeles County, California",27.8
"San Fernando Valley CCD, Los Angeles County, California",30.7
"Santa Monica CCD, Los Angeles County, California",25.8
"South Antelope Valley CCD, Los Angeles County, California",41.1
"South Bay Cities CCD, Los Angeles County, California",27.4
"South Gate-East Los Angeles CCD, Los Angeles County, California",31.5
"Southwest San Gabriel Valley CCD, Los Angeles County, California",29.9
"Torrance CCD, Los Angeles County, California",27.4
"Upper San Gabriel Valley CCD, Los Angeles County, California",29.5
"Whittier CCD, Los Angeles County, California",32.2
