"Label (Grouping)","Agoura Hills-Malibu CCD, Los Angeles County, California!!Estimate","Compton CCD, Los Angeles County, California!!Estimate","Downey-Norwalk CCD, Los Angeles County, California!!Estimate","East San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Inglewood CCD, Los Angeles County, California!!Estimate","Long Beach-Lakewood CCD, Los Angeles County, California!!Estimate","Los Angeles CCD, Los Angeles County, California!!Estimate","Newhall CCD, Los Angeles County, California!!Estimate","North Antelope Valley CCD, Los Angeles County, California!!Estimate","Palos Verdes CCD, Los Angeles County, California!!Estimate","Pasadena CCD, Los Angeles County, California!!Estimate","San Fernando Valley CCD, Los Angeles County, California!!Estimate","Santa Monica CCD, Los Angeles County, California!!Estimate","South Antelope Valley CCD, Los Angeles County, California!!Estimate","South Bay Cities CCD, Los Angeles County, California!!Estimate","South Gate-East Los Angeles CCD, Los Angeles County, California!!Estimate","Southwest San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Torrance CCD, Los Angeles County, California!!Estimate","Upper San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Whittier CCD, Los Angeles County, California!!Estimate"
"Total:","26,813","149,032","190,552","434,312","174,552","281,893","1,250,544","125,258","76,221","39,919","134,488","891,705","49,796","91,585","72,225","205,779","148,137","68,734","145,789","148,268"
"    Car, truck, or van:","17,173","130,231","162,807","361,490","139,959","220,216","826,588","99,569","65,744","29,369","89,865","675,278","26,691","79,004","47,040","171,207","121,903","53,178","117,401","125,975"
"        Drove alone","16,085","112,894","140,950","311,346","121,026","195,857","726,202","88,823","57,284","27,033","82,134","596,193","25,183","68,056","44,168","141,963","105,352","48,903","101,208","111,685"
"        Carpooled:","1,088","17,337","21,857","50,144","18,933","24,359","100,386","10,746","8,460","2,336","7,731","79,085","1,508","10,948","2,872","29,244","16,551","4,275","16,193","14,290"
"            In 2-person carpool","791","12,905","15,237","35,303","14,369","18,899","77,020","7,599","6,160","1,848","5,787","58,749","1,150","6,749","2,195","21,952","11,831","3,074","11,912","9,255"
"            In 3-person carpool","77","2,108","4,167","8,792","3,134","3,560","15,080","1,527","1,348","297","964","12,199","122","2,261","382","5,055","3,032","822","2,686","2,473"
"            In 4-or-more-person carpool","220","2,324","2,453","6,049","1,430","1,900","8,286","1,620","952","191","980","8,137","236","1,938","295","2,237","1,688","379","1,595","2,562"
"    Public transportation (excluding taxicab):","43","4,721","4,248","9,022","7,820","9,587","102,289","2,154","986","473","4,304","28,839","1,379","1,111","499","11,213","3,601","772","4,518","2,345"
"        Bus","43","3,814","3,255","5,988","7,352","7,987","88,663","1,565","667","306","2,221","23,671","1,070","709","330","10,341","3,372","720","3,213","1,805"
"        Subway or elevated rail","0","631","469","904","250","944","10,252","119","34","98","1,244","2,389","129","56","28","628","158","0","710","190"
