Label (Grouping),Median income (dollars)
"Census Tract 1011.10, Los Angeles County, California",
    Households,
        Estimate,"63,534"
        Margin of Error,"±16,806"
    Families,
        Estimate,"77,159"
        Margin of Error,"±15,560"
    Married-couple families,
        Estimate,"93,952"
        Margin of Error,"±16,301"
    Nonfamily households,
        Estimate,"46,250"
        Margin of Error,"±13,514"
"Census Tract 1011.22, Los Angeles County, California",
    Households,
        Estimate,"90,389"
        Margin of Error,"±9,796"
    Families,
        Estimate,"98,214"
        Margin of Error,"±16,791"
    Married-couple families,
        Estimate,"103,125"
        Margin of Error,"±39,711"
    Nonfamily households,
        Estimate,"62,262"
        Margin of Error,"±22,671"
"Census Tract 1012.10, Los Angeles County, California",
    Households,
        Estimate,"44,083"
        Margin of Error,"±9,483"
    Families,
        Estimate,"40,313"
        Margin of Error,"±11,384"
    Married-couple families,
        Estimate,"47,471"
        Margin of Error,"±4,876"
    Nonfamily households,
        Estimate,"29,659"
        Margin of Error,"±18,145"
"Census Tract 1012.20, Los Angeles County, California",
    Households,
        Estimate,"43,713"
        Margin of Error,"±4,639"
    Families,
        Estimate,"53,750"
        Margin of Error,"±23,968"
    Married-couple families,
        Estimate,"75,350"
        Margin of Error,"±22,310"
    Nonfamily households,
        Estimate,"26,625"
        Margin of Error,"±13,571"
"Census Tract 1013, Los Angeles County, California",
    Households,
        Estimate,"81,776"
        Margin of Error,"±11,857"
    Families,
        Estimate,"99,444"
        Margin of Error,"±27,671"
    Married-couple families,
        Estimate,"121,936"
        Margin of Error,"±7,956"
    Nonfamily households,
        Estimate,"34,811"
        Margin of Error,"±14,716"
"Census Tract 1014, Los Angeles County, California",
    Households,
        Estimate,"75,139"
        Margin of Error,"±27,397"
    Families,
        Estimate,"82,188"
        Margin of Error,"±23,099"
    Married-couple families,
        Estimate,"88,047"
        Margin of Error,"±20,906"
    Nonfamily households,
        Estimate,"31,488"
        Margin of Error,"±21,663"
"Census Tract 1021.03, Los Angeles County, California",
    Households,
        Estimate,"76,833"
        Margin of Error,"±8,001"
    Families,
        Estimate,"81,250"
        Margin of Error,"±8,665"
    Married-couple families,
