"Label (Grouping)","Workers 16 years and over","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Drove alone","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 2-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 3-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 4-or-more person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home","Workers 16 years and over!!PLACE OF WORK","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states","Workers 16 years and over who did not work from home","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m.","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Workers 16 years and over in households","VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!3 or more vehicles available","PERCENT ALLOCATED","PERCENT ALLOCATED!!Means of transportation to work","PERCENT ALLOCATED!!Private vehicle occupancy","PERCENT ALLOCATED!!Place of work","PERCENT ALLOCATED!!Time of departure to go to work","PERCENT ALLOCATED!!Travel time to work","PERCENT ALLOCATED!!Vehicles available"
"Census Tract 1011.10, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,027","","91.8%","81.7%","10.1%","7.4%","2.6%","0.0%","1.06","2.9%","0.0%","0.0%","1.3%","4.0%","","100.0%","95.8%","4.2%","0.0%","100.0%","52.6%","47.4%","0.0%","0.0%","0.0%","0.0%","100.0%","1,945","","12.5%","3.8%","8.6%","8.7%","8.2%","15.1%","6.2%","8.5%","5.4%","22.8%","","4.4%","4.2%","5.9%","21.0%","9.4%","14.2%","16.9%","9.6%","14.3%","33.3","","2,025","0.0%","27.2%","37.2%","35.6%","","11.2%","15.2%","19.0%","23.9%","20.4%","0.0%"
"        Margin of Error","±253","","±4.2","±5.9","±4.0","±3.3","±2.3","±1.7","±0.03","±2.3","±1.7","±1.7","±1.8","±2.6","","±1.7","±2.5","±2.5","±1.7","±1.7","±9.8","±9.8","±1.7","±1.7","±1.7","±1.7","±1.7","±257","","±5.4","±2.6","±4.1","±4.1","±4.1","±6.2","±3.2","±4.2","±3.6","±6.2","","±3.6","±3.5","±3.2","±7.2","±4.2","±5.7","±8.5","±4.1","±4.5","±3.2","","±253","±1.7","±8.1","±8.1","±9.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,072","","92.0%","86.5%","5.5%","5.5%","0.0%","0.0%","1.03","2.5%","0.0%","0.0%","2.4%","3.1%","","100.0%","98.0%","2.0%","0.0%","100.0%","60.1%","39.9%","0.0%","0.0%","0.0%","0.0%","100.0%","1,039","","12.6%","2.6%","11.9%","15.1%","4.7%","10.4%","2.6%","12.8%","8.4%","18.9%","","6.2%","1.3%","4.0%","29.5%","11.1%","5.6%","17.4%","11.0%","13.9%","33.9","","1,070","0.0%","19.6%","43.6%","36.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±202","","±6.2","±7.5","±3.9","±3.9","±3.2","±3.2","±0.02","±3.2","±3.2","±3.2","±3.4","±4.5","","±3.2","±1.7","±1.7","±3.2","±3.2","±12.4","±12.4","±3.2","±3.2","±3.2","±3.2","±3.2","±205","","±5.9","±2.3","±6.7","±7.3","±3.9","±8.5","±2.4","±6.1","±6.3","±6.7","","±5.9","±1.9","±4.1","±10.6","±6.0","±4.3","±9.6","±5.8","±7.0","±5.3","","±202","±3.2","±8.8","±10.1","±11.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","955","","91.5%","76.3%","15.2%","9.6%","5.5%","0.0%","1.10","3.4%","0.0%","0.0%","0.0%","5.1%","","100.0%","93.2%","6.8%","0.0%","100.0%","44.2%","55.8%","0.0%","0.0%","0.0%","0.0%","100.0%","906","","12.5%","5.1%","4.9%","1.3%","12.3%","20.5%","10.4%","3.6%","2.1%","27.4%","","2.4%","7.5%","8.1%","11.3%","7.5%","24.1%","16.2%","8.1%","14.9%","32.7","","955","0.0%","35.6%","30.1%","34.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±135","","±4.7","±7.7","±6.7","±4.9","±4.6","±3.6","±0.05","±2.8","±3.6","±3.6","±3.6","±3.4","","±3.6","±5.4","±5.4","±3.6","±3.6","±11.1","±11.1","±3.6","±3.6","±3.6","±3.6","±3.6","±136","","±9.8","±4.9","±4.3","±2.0","±6.6","±8.0","±5.6","±5.2","±3.3","±11.0","","±2.6","±6.4","±6.0","±5.9","±5.9","±9.8","±8.5","±6.4","±7.8","±3.5","","±135","±3.6","±9.5","±9.3","±9.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 1011.22, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,834","","94.3%","88.2%","6.2%","3.1%","1.9%","1.1%","1.04","0.5%","0.5%","0.0%","0.4%","4.2%","","97.7%","92.3%","5.4%","2.3%","100.0%","55.7%","44.3%","0.0%","0.0%","0.0%","0.0%","100.0%","1,757","","2.7%","6.3%","3.0%","8.0%","8.3%","18.8%","11.7%","9.4%","7.2%","24.5%","","0.5%","1.0%","2.2%","9.2%","7.4%","22.8%","18.0%","20.7%","18.2%","41.8","","1,834","0.4%","14.9%","43.4%","41.2%","","16.2%","19.9%","23.8%","32.4%","23.7%","6.2%"
