"Label (Grouping)","Agoura Hills-Malibu CCD, Los Angeles County, California!!Estimate","Compton CCD, Los Angeles County, California!!Estimate","Downey-Norwalk CCD, Los Angeles County, California!!Estimate","East San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Inglewood CCD, Los Angeles County, California!!Estimate","Long Beach-Lakewood CCD, Los Angeles County, California!!Estimate","Los Angeles CCD, Los Angeles County, California!!Estimate","Newhall CCD, Los Angeles County, California!!Estimate","North Antelope Valley CCD, Los Angeles County, California!!Estimate","Palos Verdes CCD, Los Angeles County, California!!Estimate","Pasadena CCD, Los Angeles County, California!!Estimate","San Fernando Valley CCD, Los Angeles County, California!!Estimate","Santa Monica CCD, Los Angeles County, California!!Estimate","South Antelope Valley CCD, Los Angeles County, California!!Estimate","South Bay Cities CCD, Los Angeles County, California!!Estimate","South Gate-East Los Angeles CCD, Los Angeles County, California!!Estimate","Southwest San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Torrance CCD, Los Angeles County, California!!Estimate","Upper San Gabriel Valley CCD, Los Angeles County, California!!Estimate","Whittier CCD, Los Angeles County, California!!Estimate"
"Total:","18,658","139,750","173,558","384,980","158,719","242,266","1,017,074","105,024","68,900","32,249","102,752","739,888","33,315","82,870","51,185","193,572","130,786","56,009","127,014","132,846"
"    Less than 5 minutes","702","1,426","1,851","5,516","1,984","2,589","15,181","1,613","1,442","1,042","1,524","9,269","506","1,093","922","1,404","1,451","671","1,708","1,633"
"    5 to 9 minutes","2,247","6,653","10,124","23,695","9,009","12,952","47,142","7,447","4,556","3,051","8,359","42,793","3,160","3,614","4,904","8,748","6,870","3,293","8,651","6,712"
"    10 to 14 minutes","2,409","13,699","18,094","41,862","16,923","24,825","92,191","12,259","11,085","3,460","13,887","74,280","5,160","7,651","6,826","15,691","15,302","8,559","13,783","12,928"
"    15 to 19 minutes","2,140","19,707","22,977","48,476","25,351","33,683","127,442","14,108","12,909","4,172","14,370","103,695","4,887","13,504","9,040","23,633","16,777","8,737","17,522","16,601"
"    20 to 24 minutes","2,306","23,571","26,562","49,218","24,074","39,982","144,204","10,649","9,892","4,066","14,078","101,091","4,176","10,866","6,217","29,951","18,542","8,785","17,693","18,136"
"    25 to 29 minutes","1,161","10,052","10,999","20,143","10,745","14,884","62,331","4,498","2,582","1,815","6,367","43,474","1,900","2,478","3,305","11,304","8,954","4,490","7,397","7,895"
"    30 to 34 minutes","1,930","27,837","31,154","63,578","25,170","42,196","212,026","10,570","4,535","4,370","16,206","130,559","5,331","6,403","5,183","41,741","24,277","7,425","23,263","21,918"
"    35 to 39 minutes","612","3,712","5,290","10,582","4,499","7,847","33,239","3,286","839","1,242","2,968","26,224","1,245","904","1,596","5,695","3,651","1,501","3,158","5,398"
"    40 to 44 minutes","494","6,166","7,618","20,702","7,890","12,586","57,637","6,276","1,725","2,063","5,359","37,242","1,688","2,390","2,002","11,163","6,658","2,319","6,895","6,955"
"    45 to 59 minutes","1,787","12,497","18,338","43,406","14,993","23,022","104,609","14,297","6,101","3,217","9,115","76,106","2,856","8,699","5,035","18,587","13,722","4,729","12,504","15,764"
"    60 to 89 minutes","2,129","10,204","15,314","41,843","13,344","19,857","89,360","14,103","7,414","2,694","8,003","71,397","2,058","15,300","5,166","19,855","10,759","4,104","10,507","13,327"
"    90 or more minutes","741","4,226","5,237","15,959","4,737","7,843","31,712","5,918","5,820","1,057","2,516","23,758","348","9,968","989","5,800","3,823","1,396","3,933","5,579"
"    Male:","9,705","75,932","96,751","211,077","85,110","130,713","557,287","59,352","37,221","18,586","55,150","404,686","16,772","47,442","28,903","113,691","70,106","31,271","68,799","72,481"
"        Less than 5 minutes","426","644","1,137","2,805","1,027","1,395","8,045","803","566","564","860","4,848","327","573","535","763","818","422","853","846"
"        5 to 9 minutes","727","3,136","4,560","11,018","4,858","6,111","22,643","3,040","1,668","1,427","4,159","21,054","1,937","1,473","2,499","4,586","3,763","1,462","4,206","3,086"
"        10 to 14 minutes","1,039","7,779","9,456","20,197","9,275","11,732","48,382","5,958","5,214","1,867","7,132","36,710","2,169","3,581","3,904","8,111","7,972","4,371","6,959","7,108"
"        15 to 19 minutes","1,108","10,166","11,936","24,217","12,769","16,725","67,742","7,087","6,053","2,410","7,407","53,824","2,204","6,955","4,853","13,053","7,704","4,708","8,341","8,304"
"        20 to 24 minutes","1,124","11,840","14,543","25,906","12,745","22,539","77,156","5,823","5,228","2,673","7,820","53,474","2,137","5,655","3,650","16,904","9,530","5,026","9,423","9,470"
