OBJECTID,FIPS Code,Primary RUCA Code 2010,Secondary RUCA Code 2010,Tract Population 2010,Land Area sqmi 2010,Population Density sqmi 2010,SD,SPA,CSA,Shape__Area,Shape__Length
2347,06037650401,1,1,4472,1.3,3321.3,District 4,SPA 8 - South Bay,City of Torrance,37763560.453125,32199.9669064673
2348,06037651302,1,1,6311,0.9,6820,District 4,SPA 8 - South Bay,City of Torrance,25779205.2197266,31462.7405256897
2349,06037573100,1,1,7165,0.4,16278.7,District 4,SPA 8 - South Bay,City of Long Beach,12839054.5390625,14981.5346389595
2350,06037540300,1,1,5267,0.6,8905.8,District 4,SPA 6 - South,City of Lynwood,16489696.4287109,21932.5039876912
2351,06037181300,1,1,3629,0.6,6532,District 1,SPA 4 - Metro,Los Angeles - Eagle Rock,15487827.0976563,21488.6059287587
2352,06037194200,1,1,3588,1,3569.8,District 3,SPA 4 - Metro,Los Angeles - Hollywood,28019872.2148438,29548.083770113
2353,06037183820,1,1,3464,0.1,29065.4,District 1,SPA 4 - Metro,Los Angeles - Highland Park,3322202.84667969,10487.5727045839
2354,06037910813,2,2,3535,31.9,111,District 5,SPA 1 - Antelope Valley,Unincorporated - Agua Dulce,888221338.055664,167257.099824749
2355,06037911001,3,3,4201,144.1,29.2,District 5,SPA 1 - Antelope Valley,Unincorporated - Llano,4026506710.79492,354211.05723896
2356,06037920322,2,2,2895,0.4,7175.9,District 5,SPA 2 - San Fernando,City of Santa Clarita,11246046.4140625,15179.518143697
2357,06037481101,1,1,3814,0.3,11191.5,District 1,SPA 3 - San Gabriel,City of San Gabriel,9500450.56542969,13511.8131500008
2358,06037106603,1,1,2979,5.9,504.4,District 3,SPA 2 - San Fernando,Los Angeles - Granada Hills,164742469.791992,61705.6366418082
2359,06037461700,1,1,1385,0.8,1641.2,District 5,SPA 3 - San Gabriel,City of Pasadena,23766381.9130859,27778.0984282987
2360,06037181000,1,1,6144,1.6,3874.5,District 1,SPA 4 - Metro,Los Angeles - Eagle Rock,44534157.3085938,37817.4653304432
2361,06037408627,1,1,3079,1.2,2490.7,District 1,SPA 3 - San Gabriel,Unincorporated - Rowland Heights,34464550.6806641,32304.0207343392
2362,06037408212,1,1,4485,1.1,4126.1,District 1,SPA 3 - San Gabriel,Unincorporated - Rowland Heights,30689587.2470703,22683.8183955978
2363,06037408301,1,1,5427,0.8,7057.9,District 1,SPA 3 - San Gabriel,Unincorporated - Avocado Heights,22445685.5214844,22581.0978585089
2364,06037551102,1,1,5503,0.6,8682.7,District 4,SPA 7 - East,City of Downey,18139363.8300781,20632.1495386117
2365,06037460800,1,1,3248,2.6,1256.3,District 5,SPA 3 - San Gabriel,City of Pasadena,72582825.3476563,42249.7434494344
2366,06037106510,1,1,5108,2.2,2311.3,District 3,SPA 2 - San Fernando,Los Angeles - Sylmar,61533855.3310547,37123.4556997574
2367,06037106641,1,1,2317,0.4,5284.9,District 3,SPA 2 - San Fernando,Los Angeles - Granada Hills,12221119.8564453,19091.7847071132
2368,06037403304,1,1,5178,1.4,3679.6,District 1,SPA 3 - San Gabriel,City of Diamond Bar,39262104.1767578,28219.7383976483
2369,06037404503,1,1,2977,0.3,11739.7,District 1,SPA 3 - San Gabriel,City of Azusa,7069241.48046875,10733.0288484757
2370,06037403305,1,1,2100,0.6,3671,District 1,SPA 3 - San Gabriel,City of Diamond Bar,15948004.9179688,16251.1075623634
2371,06037404803,1,1,1741,0.2,9551.2,District 1,SPA 3 - San Gabriel,City of Baldwin Park,5254537.31933594,14235.1593702483
2372,06037408628,1,1,5103,1,5371.4,District 1,SPA 3 - San Gabriel,Unincorporated - Hacienda Heights,26485821.3789063,25996.8754934217
2373,06037404302,1,1,2498,0.2,10507,District 1,SPA 3 - San Gabriel,City of Azusa,6627701.89257813,10366.200522386
2374,06037910807,2,2,5489,2.1,2579.9,District 5,SPA 2 - San Fernando,City of Santa Clarita,59306318.7363281,38456.9864610387
2375,06037901210,2,2,1591,8.7,181.9,District 5,SPA 1 - Antelope Valley,Unincorporated - Elizabeth Lake,248389289.092773,100370.437884826
2376,06037190401,1,1,3135,0.1,48641.1,District 1,SPA 4 - Metro,Los Angeles - Thai Town,1796752.67578125,5352.448943439
2377,06037127804,1,1,3933,0.2,15962.2,District 3,SPA 2 - San Fernando,Los Angeles - Van Nuys,6868380.57226563,10483.5686089957
